date,currency_from,currency_to,rate
2022-07-08,USD,PLN,3.9942
2022-07-08,EUR,PLN,4.2655
2022-07-08,GBP,PLN,4.9637
2022-07-08,JPY,PLN,0.0272
2022-07-08,CHF,PLN,4.5372
2022-07-08,CAD,PLN,2.9675
2022-07-09,USD,PLN,4.0177
2022-07-09,EUR,PLN,4.2361
2022-07-09,GBP,PLN,4.9263
2022-07-09,JPY,PLN,0.0272
2022-07-09,CHF,PLN,0.4431
2022-07-09,CAD,PLN,2.9821
2022-07-10,USD,PLN,3.9908
2022-07-10,EUR,PLN,4.3332
2022-07-10,GBP,PLN,4.9837
2022-07-10,JPY,PLN,0.0268
2022-07-10,CHF,PLN,4.5719
2022-07-10,CAD,PLN,3.0256
2022-07-11,USD,PLN,0.4077
2022-07-11,EUR,PLN,4.2811
2022-07-11,GBP,PLN,4.9501
2022-07-11,JPY,PLN,0.0265
2022-07-11,CHF,PLN,4.4658
2022-07-11,CAD,PLN,3.007
2022-07-12,USD,PLN,3.9771
2022-07-12,EUR,PLN,4.2772
2022-07-12,GBP,PLN,4.9565
2022-07-12,JPY,PLN,0.0273
2022-07-12,CHF,PLN,4.5798
2022-07-12,CAD,PLN,2.9457
2022-07-13,USD,PLN,3.9559
2022-07-13,EUR,PLN,0.4337
2022-07-13,GBP,PLN,5.0273
2022-07-13,JPY,PLN,0.027
2022-07-13,CHF,PLN,4.5875
2022-07-13,CAD,PLN,3.0469
2022-07-14,USD,PLN,4.0049
2022-07-14,EUR,PLN,4.2892
2022-07-14,GBP,PLN,49.3185
2022-07-14,JPY,PLN,0.0275
2022-07-14,CHF,PLN,4.5163
2022-07-14,CAD,PLN,3.0327
2022-07-15,USD,PLN,4.0386
2022-07-15,EUR,PLN,4.2302
2022-07-15,GBP,PLN,5.0006
2022-07-15,JPY,PLN,0.0267
2022-07-15,CHF,PLN,0.4437
2022-07-15,CAD,PLN,2.9612
2022-07-16,USD,PLN,4.0182
2022-07-16,EUR,PLN,4.3027
2022-07-16,GBP,PLN,5.0265
2022-07-16,JPY,PLN,0.0268
2022-07-16,CHF,PLN,4.482
2022-07-16,CAD,PLN,2.9683
2022-07-17,USD,PLN,4.0167
2022-07-17,EUR,PLN,4.3513
2022-07-17,GBP,PLN,5.0662
2022-07-17,JPY,PLN,0.0272
2022-07-17,CHF,PLN,4.5091
2022-07-17,CAD,PLN,3.0468
2022-07-18,USD,PLN,4.0075
2022-07-18,EUR,PLN,4.2158
2022-07-18,GBP,PLN,5.0831
2022-07-18,JPY,PLN,0.0274
2022-07-18,CHF,PLN,4.5311
2022-07-18,CAD,PLN,2.9404
2022-07-19,USD,PLN,3.9506
2022-07-19,EUR,PLN,4.2294
2022-07-19,GBP,PLN,4.9445
2022-07-19,JPY,PLN,0.0275
2022-07-19,CHF,PLN,4.4356
2022-07-19,CAD,PLN,2.9417
2022-07-20,USD,PLN,4.0033
2022-07-20,EUR,PLN,4.3329
2022-07-20,GBP,PLN,5.0951
2022-07-20,JPY,PLN,0.0266
2022-07-20,CHF,PLN,4.4988
2022-07-20,CAD,PLN,3.0236
2022-07-21,USD,PLN,4.0463
2022-07-21,EUR,PLN,4.3265
2022-07-21,GBP,PLN,5.0379
2022-07-21,JPY,PLN,0.0027
2022-07-21,CHF,PLN,4.5665
2022-07-21,CAD,PLN,2.9935
2022-07-22,USD,PLN,3.937
2022-07-22,EUR,PLN,4.338
